D,d,alpha,z,u,mu_c,w1,w1p,b2,N2_visible,N2_tensor_Phi_0.2,N2_tensor_Phi_0.4,A_visible,A_tensor_Phi_0.2,A_tensor_Phi_0.4
3,1,0.0,3.0,1.001,17.12809984132014,0.34751006508185006,-0.01266970380677324,-8.30374065248587e-05,0.002609398453575711,0.002616049340776664,0.002636103199032305,,,
3,1,0.0,3.0,1.013645569620253,17.12809984132014,0.3463884074186611,-0.16111662598924106,-0.0010252820293229273,0.028682269567150236,0.0287528709672357,0.02896571198348112,,,
3,1,0.0,3.0,1.0262911392405063,17.12809984132014,0.34352353178158523,-0.28862182749158505,-0.0017781792780827738,0.04365037582983163,0.043754234839407234,0.04406728467714338,,,
3,1,0.0,3.0,1.0389367088607593,17.12809984132014,0.3391705805442629,-0.39673657812260243,-0.002357104267772292,0.04970122494330722,0.04981564781189525,0.05016048392559891,,,
3,1,0.0,3.0,1.0515822784810125,17.12809984132014,0.33356440853698754,-0.4871076500317204,-0.00277747461014245,0.04872577352464501,0.04883446305965494,0.049161970297988834,,,
3,1,0.0,3.0,1.0642278481012657,17.12809984132014,0.32691879772406407,-0.5614111280655664,-0.0030544450125189505,0.042339870596314215,0.04243157826645238,0.042707873388367235,,,
3,1,0.0,3.0,1.076873417721519,17.12809984132014,0.3194264299213598,-0.6213008036409012,-0.0032026683650294803,0.03190803808530004,0.03197544285866201,0.03217848723119723,,,
3,1,0.0,3.0,1.089518987341772,17.12809984132014,0.3112594161464893,-0.6683712280380119,-0.0032361169754066507,0.018568995682416694,0.018607783157240456,0.018724601335272748,,,
3,1,0.0,3.0,1.1021645569620253,17.12809984132014,0.30257021615321134,-0.7041324917642714,-0.003167957447667359,0.003261558038272061,0.0032696732716862085,0.003294097627950004,,,
3,1,0.0,3.0,1.1148101265822783,17.12809984132014,0.29349281626493173,-0.7299942082621637,-0.0030104712918817677,-0.013250121797311007,-0.013273073267621898,-0.013342209720864721,,,
3,1,0.0,3.0,1.1274556962025315,17.12809984132014,0.2841440628700083,-0.7472565920072176,-0.0027750117537991346,-0.030352680171135182,-0.03040590670698226,-0.03056620090966459,,,
3,1,0.0,3.0,1.1401012658227847,17.12809984132014,0.2746250732108928,-0.7571068951474618,-0.002471991884424882,-0.04756149594312955,-0.047643390794644365,-0.047889987923086165,,,
3,1,0.0,3.0,1.152746835443038,17.12809984132014,0.26502266492313326,-0.7606197956411266,-0.0021108951370455795,-0.06450072046595656,-0.06460914800686848,-0.06493560388684157,,,
3,1,0.0,3.0,1.1653924050632911,17.12809984132014,0.25541076174184174,-0.7587606122765472,-0.0017003041697290669,-0.08088547807333756,-0.08101799134860516,-0.08141692761364265,,,
3,1,0.0,3.0,1.1780379746835443,17.12809984132014,0.24585174546474006,-0.7523904601485077,-0.0012479417330863165,-0.09650621951046759,-0.09666022272668302,-0.09712381592289267,,,
3,1,0.0,3.0,1.1906835443037973,17.12809984132014,0.23639773416364898,-0.7422726578931041,-0.000760720340825272,-0.11121513231186114,-0.11138799966989665,-0.11190833875247345,,,
3,1,0.0,3.0,1.2033291139240505,17.12809984132014,0.22709177431821698,-0.7290798601302415,-0.0002447969405361004,-0.12491446437685504,-0.1251036246651302,-0.12567296532556962,,,
3,1,0.0,3.0,1.2159746835443037,17.12809984132014,0.2179689403052002,-0.7134015195239528,0.0002943694344552677,-0.1375465889340575,-0.13774958357606248,-0.13836052260671544,,,
3,1,0.0,3.0,1.228620253164557,17.12809984132014,0.2090573390264832,-0.6957513878290964,0.0008519598457900392,-0.14908562748191878,-0.14930014825698384,-0.14994573675897319,,,
3,1,0.0,3.0,1.2412658227848101,17.12809984132014,0.20037902056607657,-0.676574848046436,0.0014237383128470323,-0.15953044696646723,-0.1597543583823787,-0.16042816876164798,,,
3,1,0.0,3.0,1.253911392405063,17.12809984132014,0.19195079797755626,-0.6562559345342642,0.0020059965988464368,-0.1688988543703424,-0.1691302046402865,-0.16982636334303686,,,
3,1,0.0,3.0,1.2665569620253163,17.12809984132014,0.18378498078865863,-0.635123947832813,0.0025955019542598457,-0.17722282226635497,-0.17745984595127856,-0.17817304111588927,,,
3,1,0.0,3.0,1.2792025316455695,17.12809984132014,0.1758900277227886,-0.6134596087859355,0.003189447948984499,-0.18454460187211252,-0.1847857166846225,-0.1855111883187058,,,
3,1,0.0,3.0,1.2918481012658227,17.12809984132014,0.16827112467149752,-0.5915007250202988,0.0037854088060717823,-0.19091357353147026,-0.19115737305320388,-0.19189089093357364,,,
3,1,0.0,3.0,1.304493670886076,17.12809984132014,0.16093069413091443,-0.5694473634833815,0.004381297446077738,-0.1963837335228552,-0.19662897730736,-0.197366811014228,,,
3,1,0.0,3.0,1.3171392405063291,17.12809984132014,0.15386884231573422,-0.5474665377115673,0.0049753270796063145,-0.20101170315733616,-0.2012573052686723,-0.2019961895598058,,,
3,1,0.0,3.0,1.3297848101265821,17.12809984132014,0.14708374997189283,-0.5256964286598143,0.005565976263691317,-0.2048551691579898,-0.2051001859163756,-0.20583728374284319,,,
3,1,0.0,3.0,1.3424303797468353,17.12809984132014,0.14057201263143773,-0.504250164683204,0.0061519574554764166,-0.20797168431182778,-0.2082153018110687,-0.2089481666977038,,,
3,1,0.0,3.0,1.3550759493670885,17.12809984132014,0.1343289356996398,-0.48321919030079946,0.006732188610602501,-0.21041775947112598,-0.21065928129210928,-0.21138582028691696,,,
3,1,0.0,3.0,1.3677215189873417,17.12809984132014,0.12834878937632305,-0.46267625544647356,0.007305767848938737,-0.2122481925625533,-0.2124870279624407,-0.21320546597864198,,,
3,1,0.0,3.0,1.3803670886075947,17.12809984132014,0.12262502800645557,-0.4426780575158293,0.007871950759953875,-0.21351558875021945,-0.2137512414477822,-0.21446008753571968,,,
3,1,0.0,3.0,1.393012658227848,17.12809984132014,0.11715047804489112,-0.42326756806600785,0.008430130256011442,-0.21427003473341524,-0.21450209245900867,-0.215200108335905,,,
3,1,0.0,3.0,1.4056582278481011,17.12809984132014,0.1119174984325834,-0.40447607494448096,0.008979818728186944,-0.2145588874179831,-0.21478701224853416,-0.21547318319937944,,,
3,1,0.0,3.0,1.4183037974683543,17.12809984132014,0.10691811679241381,-0.38632496893318136,0.009520632193633412,-0.21442667339327887,-0.21465059293012714,-0.21532410125192863,,,
3,1,0.0,3.0,1.4309493670886075,17.12809984132014,0.10214414450265394,-0.3688273021337902,0.01005227636785843,-0.21391504152265353,-0.21413454084845854,-0.2147947416442227,,,
3,1,0.0,3.0,1.4435949367088607,17.12809984132014,0.09758727337390308,-0.3519891432589245,0.010574534373048384,-0.21306278160912773,-0.2132776960255851,-0.21392409535204007,,,
3,1,0.0,3.0,1.456240506329114,17.12809984132014,0.09323915634892523,-0.33581075287618556,0.011087255903283692,-0.2119058929087103,-0.21211610142794715,-0.21274833671425805,,,
3,1,0.0,3.0,1.468886075949367,17.12809984132014,0.08909147436764689,-0.32028759957484343,0.011590347792029426,-0.21047766193071837,-0.21068308142427605,-0.21130090387178513,,,
3,1,0.0,3.0,1.4815316455696201,17.12809984132014,0.08513599128698315,-0.30541123600740594,0.012083765667617213,-0.2088087884932499,-0.20900936850971774,-0.20961262750520715,,,
3,1,0.0,3.0,1.4941772151898733,17.12809984132014,0.08136459851811266,-0.29117005184868056,0.012567506721810407,-0.20692749749570766,-0.20712321563097702,-0.2077118448238751,,,
3,1,0.0,3.0,1.5068227848101265,17.12809984132014,0.07776935083916303,-0.2775499189195362,0.013041603366907671,-0.20485968637147767,-0.2050505441921367,-0.20562454923671336,,,
3,1,0.0,3.0,1.5194683544303795,17.12809984132014,0.07434249465851525,-0.26453474206053473,0.013506117691571352,-0.20262905814003365,-0.20281507757694853,-0.20337452528959624,,,
3,1,0.0,3.0,1.5321139240506327,17.12809984132014,0.07107648984500657,-0.2521069278470791,0.0139611366980078,-0.20025726395299137,-0.20043848412972878,-0.20098349295471551,,,
3,1,0.0,3.0,1.544759493670886,17.12809984132014,0.06796402609183474,-0.24024778180621661,0.014406768079999134,-0.1977640394161469,-0.19794051386443762,-0.1984712455040764,,,
3,1,0.0,3.0,1.5574050632911391,17.12809984132014,0.06499803466049787,-0.22893784359834507,0.014843136622008528,-0.19516734263368996,-0.19533913685838025,-0.19585578895455333,,,
3,1,0.0,3.0,1.5700506329113924,17.12809984132014,0.0621716962332835,-0.2181571684516555,0.015270381059025563,-0.19248348491180683,-0.19265067426311788,-0.1931534740031103,,,
3,1,0.0,3.0,1.5826962025316456,17.12809984132014,0.059478445507938696,-0.20788556215852563,0.015688651365477195,-0.18972725393006287,-0.18988992175061742,-0.19037912029922616,,,
3,1,0.0,3.0,1.5953417721518988,17.12809984132014,0.056911973080241596,-0.19810277603030252,0.016098106397923955,-0.18691203207849325,-0.18707026809293084,-0.18754613575404097,,,
3,1,0.0,3.0,1.607987341772152,17.12809984132014,0.054466225084482914,-0.18878866740577127,0.01649891190305022,-0.1840499115789539,-0.18420381050118573,-0.1846666325337186,,,
3,1,0.0,3.0,1.620632911392405,17.12809984132014,0.05213540099592156,-0.17992333060058274,0.016891238760114252,-0.18115179470771225,-0.181301455032858,-0.18175152802194203,,,
3,1,0.0,3.0,1.6332784810126582,17.12809984132014,0.049913949941471726,-0.17148720255645736,0.01727526152181431,-0.1782274988841889,-0.17837302185443635,-0.17881065060536988,,,
3,1,0.0,3.0,1.6459240506329114,17.12809984132014,0.04779656581457775,-0.1634611468949872,0.017651157121121547,-0.17528583937492967,-0.17542732808412134,-0.1758528229333241,,,
3,1,0.0,3.0,1.6585696202531643,17.12809984132014,0.04577818144652362,-0.1558265195934786,0.0180191038019246,-0.17233472286527907,-0.1724722814997281,-0.17288595603509999,,,
3,1,0.0,3.0,1.6712151898734176,17.12809984132014,0.043853962048513384,-0.14856521907238088,0.01837928020027863,-0.16938122088726723,-0.1695149540745749,-0.1699171231804248,,,
3,1,0.0,3.0,1.6838607594936708,17.12809984132014,0.042019298106078413,-0.14165972310958264,0.01873186456293696,-0.16643164454382647,-0.1665616568021079,-0.16695263500578952,,,
3,1,0.0,3.0,1.696506329113924,17.12809984132014,0.040269797878818035,-0.13509311466706767,0.01907703409400417,-0.1634916139296138,-0.16361800920425143,-0.1639981092857748,,,
3,1,0.0,3.0,1.7091518987341772,17.12809984132014,0.038601279633914666,-0.12884909842776454,0.019414964423512728,-0.16056611526443149,-0.16068899653701027,-0.16105852835551793,,,
3,1,0.0,3.0,1.7217974683544304,17.12809984132014,0.037009763721182386,-0.1229120095961564,0.019745829123299554,-0.15765956211782278,-0.1577790310831765,-0.15813830060801787,,,
3,1,0.0,3.0,1.7344430379746836,17.12809984132014,0.03549146457843053,-0.11726681628794808,0.020069799366848058,-0.1547758464757758,-0.15489200327501607,-0.1552413117849786,,,
3,1,0.0,3.0,1.7470886075949368,17.12809984132014,0.034042782741193316,-0.11189911665612619,0.020387043599204097,-0.1519183844573274,-0.1520313274593213,-0.15237097088738197,,,
3,1,0.0,3.0,1.7597341772151898,17.12809984132014,0.03266029691672928,-0.1067951317250484,0.020697727300914483,-0.14909016336131495,-0.1491999889882468,-0.14953025739870768,,,
3,1,0.0,3.0,1.772379746835443,17.12809984132014,0.03134075617141158,-0.10194169477112475,0.021002012794903085,-0.14629378098118576,-0.14640058357048166,-0.14672176074530108,,,
3,1,0.0,3.0,1.7850253164556962,17.12809984132014,0.03008107227038139,-0.09732623795663703,0.02130005909498746,-0.14353148090666926,-0.14363535260437635,-0.1439477157239488,,,
3,1,0.0,3.0,1.7976708860759492,17.12809984132014,0.028878312200378682,-0.09293677682149933,0.02159202179400881,-0.14080518802735778,-0.14090621870946085,-0.1412100381172664,,,
3,1,0.0,3.0,1.8103164556962024,17.12809984132014,0.027729690899500132,-0.08876189314313476,0.0218780529855743,-0.13811653902423193,-0.13821481624123352,-0.13851035527832248,,,
3,1,0.0,3.0,1.8229620253164556,17.12809984132014,0.026632564211710803,-0.08479071659464522,0.022158301208660667,-0.13546690914568002,-0.13556251808704914,-0.13585003298616521,,,
3,1,0.0,3.0,1.8356075949367088,17.12809984132014,0.02558442207895653,-0.08101290556298708,0.022432911417116643,-0.13285743848791562,-0.13295046196379065,-0.13323020179527578,,,
3,1,0.0,3.0,1.848253164556962,17.12809984132014,0.02458288197953245,-0.07741862742974263,0.022702024985518036,-0.130289055708414,-0.13037957414573517,-0.13065178080673087,,,
3,1,0.0,3.0,1.8608987341772152,17.12809984132014,0.02362568261786024,-0.07399853856600529,0.02296577969311689,-0.12776249888301025,-0.1278505903337947,-0.1281154985738728,,,
3,1,0.0,3.0,1.8735443037974684,17.12809984132014,0.02271067786793264,-0.07074376424930048,0.023224309772685154,-0.12527833430078716,-0.12536407446073988,-0.12562191193854091,,,
3,1,0.0,3.0,1.8861898734177216,17.12809984132014,0.021835830970296108,-0.067645878673162,0.023477745923999146,-0.12283697460700672,-0.12292043684264316,-0.12317142420803874,,,
3,1,0.0,3.0,1.8988354430379746,17.12809984132014,0.020999208980492474,-0.0646968851880893,0.02372621536625395,-0.12043869487681688,-0.12051995025956702,-0.12076430125675214,,,
3,1,0.0,3.0,1.9114810126582278,17.12809984132014,0.020198977465299865,-0.061889196885440936,0.023969841891370067,-0.11808364704098978,-0.11816276438705324,-0.11840068597487687,,,
3,1,0.0,3.0,1.924126582278481,17.12809984132014,0.019433395441854854,-0.05921561761269705,0.02420874592095126,-0.11577187286317557,-0.11584891877812813,-0.11608061126466158,,,
3,1,0.0,3.0,1.936772151898734,17.12809984132014,0.018700810553751303,-0.056669323488910926,0.02444304456883375,-0.11350331606732304,-0.11357835499441724,-0.11380401218258399,,,
