D,d,alpha,z,valid,reason,seconds,mu_c,zero_nodes,zero_rms,mu2,b2_fredholm_residual,metric_nodes,metric_rms,metric_anchor_rel_error,response_Finf,response_anchor_rel_error
3,1,0.0,1.0,False,DEGENERATE_NO_VISIBLE_CHEMICAL_PROFILE,4.76837158203125e-07,,,,,,,,,,
3,1,0.0,1.5,True,,3.641435384750366,10.952606704193652,962.0,9.96622795131265e-07,0.18801641249101894,0.0,905.0,2.944302109375465e-06,,,
3,1,0.0,2.0,True,,5.465049505233765,12.79379359574271,965.0,9.950409059003027e-07,0.0827520669179117,0.0,1577.0,2.9997433893313106e-06,,,
3,1,0.0,2.5,True,,11.13791036605835,14.934525239853269,953.0,9.957021776861018e-07,0.054879359817012786,0.0,2107.0,2.9964997599491903e-06,,,
3,1,0.0,3.0,True,,13.626636981964111,17.12809984132014,928.0,9.917322704933153e-07,0.04225886289186777,0.0,2250.0,2.9961269741362514e-06,,,
3,1,0.0,4.0,True,,14.724533081054688,21.54607349573798,913.0,9.946747415959651e-07,0.030066320482020868,0.0,2561.0,2.9986072161368783e-06,,,
3,1,0.0,5.0,True,,19.495852947235107,25.969354489760214,890.0,9.950625338987563e-07,0.023833119645580426,0.0,2725.0,2.999217677525392e-06,,,
3,1,0.5,1.0,True,,3.7351956367492676,3.8421032405130298,478.0,9.966288152893589e-07,0.17937680464224703,0.0,864.0,2.9923835710259113e-06,,,
3,1,0.5,1.5,True,,3.755519390106201,7.901166941936064,966.0,9.254516025904363e-07,0.06405717714829175,0.0,956.0,2.9891659706308457e-06,,,
3,1,0.5,2.0,True,,5.581367254257202,10.892535630157733,971.0,9.68870717082538e-07,0.04058001939781334,0.0,1603.0,2.990179212006504e-06,,,
3,1,0.5,2.5,True,,9.131263732910156,13.556164548533644,958.0,8.987994975929718e-07,0.031572279705539705,-4.336808689942018e-19,2030.0,2.9981869416248138e-06,,,
3,1,0.5,3.0,True,,9.858674049377441,16.062733212138827,934.0,9.799453997795064e-07,0.026707648513787124,0.0,2168.0,2.9894702009985682e-06,,,
3,1,0.5,4.0,True,,13.884105920791626,20.844977305450904,897.0,9.674595818440574e-07,0.021228853687113285,0.0,2526.0,2.998644732536061e-06,,,
3,1,0.5,5.0,True,,18.07200312614441,25.475765730521424,881.0,9.975416267382716e-07,0.017967670074742603,0.0,2713.0,2.9947847516560583e-06,,,
3,1,1.0,1.0,True,,3.4917712211608887,3.6496454129911835,751.0,9.883166497025834e-07,0.05480825761083844,0.0,865.0,2.867778097328938e-06,,,
3,1,1.0,1.5,True,,4.397310018539429,7.114968211989941,974.0,9.760325628112693e-07,0.02986387832609735,0.0,988.0,2.9971663998962808e-06,,,
3,1,1.0,2.0,True,,7.168547868728638,10.117994513244424,972.0,9.704206228108449e-07,0.022881140921041355,0.0,1637.0,2.996423637021863e-06,,,
3,1,1.0,2.5,True,,6.9416539669036865,12.868591368058356,955.0,9.760813458758745e-07,0.019752364499890488,0.0,1955.0,2.9921610469089894e-06,,,
3,1,1.0,3.0,True,,13.75965404510498,15.466901239536144,935.0,9.940065462763754e-07,0.017881428756077355,0.0,2141.0,2.994604166029992e-06,,,
3,1,1.0,4.0,True,,13.944278240203857,20.402472345814946,890.0,9.702324052568479e-07,0.015495223762396773,0.0,2513.0,2.998124750666262e-06,,,
3,1,1.0,5.0,True,,15.06126093864441,25.146037780344095,867.0,9.431653417378407e-07,0.013846356161191042,0.0,2675.0,2.9933282684161835e-06,,,
3,1,1.5,1.0,True,,3.687608242034912,3.7801878528360615,815.0,9.76104983004598e-07,0.022356410155502965,0.0,869.0,2.977459061306246e-06,,,
3,1,1.5,1.5,True,,4.088752269744873,6.891072193702516,981.0,9.943104090107966e-07,0.0160100662202619,0.0,1061.0,2.989137723285507e-06,,,
3,1,1.5,2.0,True,,5.4266111850738525,9.790856378604408,971.0,9.750372960626908e-07,0.014001283422242597,0.0,1653.0,2.999973210152661e-06,,,
3,1,1.5,2.5,True,,6.7649266719818115,12.5244090039532,955.0,9.782441961672662e-07,0.013069619789518452,0.0,1939.0,2.997354156293707e-06,,,
3,1,1.5,3.0,True,,11.496673107147217,15.138191569159659,934.0,9.699827221002735e-07,0.012480931101389283,0.0,2113.0,2.999653825802989e-06,,,
3,1,1.5,4.0,True,,16.03596568107605,20.131944070179582,892.0,9.73642609870483e-07,0.011609955735846044,0.0,2437.0,2.9965572063291377e-06,,,
3,1,1.5,5.0,True,,16.322479963302612,24.93533968265261,856.0,9.927397337953596e-07,0.010865831645672258,0.0,2649.0,2.995109638702514e-06,,,
3,1,2.0,1.0,True,,3.581021785736084,3.9999999999576468,466.0,9.987089465905437e-07,0.010565480396162763,0.0,875.0,2.8371477244253336e-06,1.602662255469752e-05,,
3,1,2.0,1.5,True,,4.2342565059661865,6.889349305502616,988.0,9.952171201358227e-07,0.009323747796814476,0.0,1110.0,2.988637641032835e-06,,,
3,1,2.0,2.0,True,,5.912935018539429,9.685183831853772,973.0,9.767827841774269e-07,0.009050748745072642,-1.0842021724855044e-19,1617.0,2.999565183459523e-06,,,
3,1,2.0,2.5,True,,7.232687950134277,12.374969629909176,955.0,9.058784695788508e-07,0.009005164660986963,1.0842021724855044e-19,1942.0,2.993451440714793e-06,,,
3,1,2.0,3.0,True,,9.63522458076477,14.975492752590096,932.0,9.79820634157802e-07,0.008991389855804381,-1.0842021724855044e-19,2087.0,2.995844872206681e-06,,,
3,1,2.0,4.0,True,,13.746425151824951,19.981425092016643,891.0,9.893638586772833e-07,0.008885005365130311,0.0,2409.0,2.993675367419575e-06,,,
