D,d,theta,z,case_id,case_label,quantity,thermodynamic_scheme,reliability_class,source_rule,epsilon_horizon,mu_branch,F_iso_visible,F_aniso_visible,DeltaF_visible,T_deltaF_visible,solver_success,solver_message,case_free_energy_scale,DeltaF,T_deltaF,F_iso,F_aniso,y_value,y_label
3,1,0.0,2.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,12.538689371787724,-78.60936558109121,-80.21445662465536,-1.6050910435641441,-0.9224313086798127,True,The algorithm converged to the desired accuracy.,1.0007922638566842,-1.6063626991846476,-0.9226207162972466,-78.60936558109121,-80.21572828027585,-0.9226207162972466,tanh(Delta F / V_d)
3,1,0.0,2.5,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,1.0,-0.47436021739986245,-0.44171554866452317,-166.35295432968047,-166.82731454708033,-0.44171554866452317,tanh(Delta F / V_d)
3,1,0.0,2.5,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,1.0,-0.47436021739986245,-0.44171554866452317,-166.35295432968047,-166.82731454708033,-0.44171554866452317,tanh(Delta F / V_d)
3,1,0.0,2.5,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,0.84,-0.39846258261588446,-0.3786327204783706,-166.35295432968047,-166.75141691229635,-0.3786327204783706,tanh(Delta F / V_d)
3,1,0.0,2.5,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,1.0,-0.47436021739986245,-0.44171554866452317,-166.35295432968047,-166.82731454708033,-0.44171554866452317,tanh(Delta F / V_d)
3,1,0.0,2.5,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,1.0012860094546925,-0.47497024912436864,-0.44220642316518066,-166.35295432968047,-166.82792457880484,-0.44220642316518066,tanh(Delta F / V_d)
3,1,0.0,3.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,17.122419988373803,-293.17726625826276,-293.30044879453845,-0.1231825362756922,-0.1225632401766883,True,The algorithm converged to the desired accuracy.,1.0,-0.1231825362756922,-0.1225632401766883,-293.17726625826276,-293.30044879453845,-0.1225632401766883,tanh(Delta F / V_d)
3,1,0.0,3.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,17.122419988373803,-293.17726625826276,-293.30044879453845,-0.1231825362756922,-0.1225632401766883,True,The algorithm converged to the desired accuracy.,1.0,-0.1231825362756922,-0.1225632401766883,-293.17726625826276,-293.30044879453845,-0.1225632401766883,tanh(Delta F / V_d)
3,1,0.0,3.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,17.122419988373803,-293.17726625826276,-293.30044879453845,-0.1231825362756922,-0.1225632401766883,True,The algorithm converged to the desired accuracy.,0.84,-0.10347333047158144,-0.10310561818187468,-293.17726625826276,-293.2807395887343,-0.10310561818187468,tanh(Delta F / V_d)
3,1,0.0,3.0,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,17.122419988373803,-293.17726625826276,-293.30044879453845,-0.1231825362756922,-0.1225632401766883,True,The algorithm converged to the desired accuracy.,1.0,-0.1231825362756922,-0.1225632401766883,-293.17726625826276,-293.30044879453845,-0.1225632401766883,tanh(Delta F / V_d)
3,1,0.0,3.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,17.122419988373803,-293.17726625826276,-293.30044879453845,-0.1231825362756922,-0.1225632401766883,True,The algorithm converged to the desired accuracy.,1.0017827456025177,-0.12340213940054466,-0.12277953865356472,-293.17726625826276,-293.3006683976633,-0.12277953865356472,tanh(Delta F / V_d)
3,1,0.0,4.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,21.548021968395688,-696.4758761256946,-696.5023328410238,-0.026456715329118197,-0.026450544195630022,True,The algorithm converged to the desired accuracy.,1.0,-0.026456715329118197,-0.026450544195630022,-696.4758761256946,-696.5023328410238,-0.026450544195630022,tanh(Delta F / V_d)
3,1,0.0,4.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,21.548021968395688,-696.4758761256946,-696.5023328410238,-0.026456715329118197,-0.026450544195630022,True,The algorithm converged to the desired accuracy.,1.0,-0.026456715329118197,-0.026450544195630022,-696.4758761256946,-696.5023328410238,-0.026450544195630022,tanh(Delta F / V_d)
