accepted_points,alpha_dm,c2,c2_sign,c4,claim2_candidate,delta2,fit_success,max_abs_residual,message,mu0,mu0_minus_mu_c,mu_X,mu_c,point_key,psi_sq_max,psi_sq_min,rmse,closure_mode,classification,mu_extremal_max
4,0.0,0.017964338844764168,positive,-0.00024377821565002884,False,0.1,True,2.9118720767939976e-09,,3.731337129059644,0.0008450093433962635,0.0,3.730492119716248,d0.10_a0.0_nu0.0,0.061429292209889574,0.0038359460172882956,1.8889627108684056e-09,,,
4,0.0,0.01815390012946088,positive,-0.0002492923665898249,False,0.1,True,4.9538355639811016e-09,,3.7262677389117016,0.0008376514690984216,0.5,3.725430087442603,d0.10_a0.0_nu0.5,0.06084881090849773,0.0037996815795227653,3.213608686828462e-09,,,
4,0.0,0.018747878398163283,positive,-0.00027154274286084743,False,0.1,True,1.6335235386577551e-09,,3.710841494805074,0.0008155296292819969,1.0,3.710025965175792,d0.10_a0.0_nu1.0,0.0591005321420792,0.0036904614640383125,1.059684387835575e-09,,,
4,0.0,0.01983198918078867,positive,-0.0003243533307188127,False,0.1,True,1.2936105520111596e-09,,3.6843625428372775,0.0007784086384896582,1.5,3.683584134198788,d0.10_a0.0_nu1.5,0.056162782762850826,0.0035069335665073916,8.391762365661425e-10,,,
4,0.0,0.021581641946070974,positive,-0.00039205726538497345,False,0.1,True,5.365463628947964e-10,,3.6455133081579256,0.0007259468796330104,2.0,3.6447873612782926,d0.10_a0.0_nu2.0,0.05199509471486879,0.0032465722426401255,3.480605453034589e-10,,,
4,0.4,0.018092751576202458,positive,-0.0002559848880479353,False,0.1,True,6.0881699681658574e-09,,3.6669556298544075,0.000849113021308856,0.0,3.6661065168330986,d0.10_a0.4_nu0.0,0.06273038630469864,0.00391698451758591,3.949440232397173e-09,,,
4,0.4,0.019123127680060123,positive,-0.0003063592853313055,False,0.1,True,6.458266810227542e-09,,3.6559846257968682,0.000814864945627658,0.5,3.6551697608512406,d0.10_a0.4_nu0.5,0.06027202573082958,0.0037633059478555313,4.189500364467249e-09,,,
4,0.4,0.02073280774392821,positive,-0.00038688926168395637,False,0.1,True,1.3775340867994146e-09,,3.634095311149531,0.0007661325005554609,1.0,3.6333291786489754,d0.10_a0.4_nu1.0,0.05663121781940659,0.0035357536584698615,8.936052725851315e-10,,,
4,0.4,0.023192252545738198,positive,-0.0005103992214245883,False,0.1,True,8.594036593478904e-10,,3.5998566418553737,0.0007027339124272558,1.5,3.5991539079429464,d0.10_a0.4_nu1.5,0.051776482864898415,0.0032323601460195945,5.574885983673963e-10,,,
4,0.4,0.02705107908556699,positive,-0.0007578680358549078,False,0.1,True,4.818918153404184e-09,,3.5508595276621597,0.0006241191995379758,2.0,3.5502354084626218,d0.10_a0.4_nu2.0,0.04565099679214063,0.002849574430667654,3.125938439870406e-09,,,
4,0.8,0.01822219526888318,positive,-0.00030021563520402897,False,0.1,True,3.2393510096540012e-09,,3.460798761675717,0.0008551920528465651,0.0,3.4599435696228706,d0.10_a0.8_nu0.0,0.06669460116896997,0.004163870954085659,2.101350696171099e-09,,,
4,0.8,0.020255041816670833,positive,-0.0004175621692699661,False,0.1,True,5.156000959516405e-09,,3.4659920062498437,0.000795078196305532,0.5,3.465196928053538,d0.10_a0.8_nu0.5,0.06219619510298725,0.0038825962064420756,3.3446255120439793e-09,,,
