D,d,theta,z,Delta,U,nh,A,m2,status,message,u,Phi,Phi2
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.7987465961342135,0.1922468144758864,0.036958837676125886
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.8252963392617843,0.18956585162965875,0.035935212104077796
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.852237960190072,0.18691395780184916,0.034936827621151446
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.8795772430884359,0.18429109418637427,0.03396320739641107
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.9073200575013574,0.18169721268149985,0.03301387709622619
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.9354723596085888,0.17913225608920566,0.032088365171608756
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.9640401935039016,0.1765961585176405,0.031186203203187608
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.9930296924927087,0.174088845589799,0.030306926158788883
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.022447080408841,0.1716102344546366,0.029450072569575346
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.052298672950759,0.1691602339943776,0.028615184765032584
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.0825908790374865,0.16673874505600822,0.027801809102852505
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.1133302021845592,0.16434566088562857,0.027009496251934027
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.1445232419002833,0.161980867355208,0.026237801389145488
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.1761766951025985,0.15964424299590357,0.02548628432173511
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.2082973575568605,0.15733565922482984,0.02475450966371178
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.2408921253348413,0.15505498059324102,0.02404204700677035
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.273967996295265,0.15280206523617956,0.023348471140441675
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.3075320715861967,0.1505767651025778,0.022673362188756895
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.341591557169609,0.1483789259980473,0.022016305680333997
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.376153765368447,0.1462083878173697,0.02137689266815438
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.4112261164365316,0.14406498479599844,0.020754719844271262
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.446816140151636,0.14194854596060538,0.0201493897003301
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.4829314774320705,0.1398588953503762,0.019560510608627485
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.5195798819771333,0.13779585205900283,0.018987696844666592
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.5567692219317744,0.13575923046173644,0.018430568655562866
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.594507481575826,0.13374884045950375,0.01788875232426179
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.6328027630381734,0.13176448791872822,0.017361880276484675
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.6716632880362186,0.12980597487463083,0.01684959111315329
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.7110973996410253,0.1278730995648725,0.016351529592327795
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.751113564068515,0.1259656566428282,0.015867346653458885
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.7917203724971023,0.12408343740643998,0.01539669943859791
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.832926542912156,0.12222623021860979,0.014939251353452601
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.8747409219776903,0.12039382068626851,0.014494672059437375
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.917172486935675,0.11858599168072849,0.014062637422901807
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.9602303475333893,0.11680252353155036,0.013642829503338377
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.003923747979211,0.11504319423492707,0.013234936539775156
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.0482620689272872,0.11330777984869815,0.012838652974241046
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.0932548294914874,0.11159605464361408,0.0124536794120205
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.1389116892890914,0.10990779110774423,0.012079722546183542
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.185242450514635,0.10824276011769471,0.0117164951178968
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.232257060044375,0.10660073112363178,0.011363715876092837
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.2799656115718028,0.10498147251536773,0.01102110957149491
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.328378347774696,0.10338475174446343,0.010688406893264335
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.3775056625141384,0.10181033531188335,0.010365344376318123
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.4273581030660125,0.10025798891526773,0.010051664341333947
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.4779463723854174,0.09872747760957105,0.009747114835148354
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.52928133140452,0.09721856614262035,0.009451449602827048
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.581374001364313,0.09573101904841856,0.009164428008048677
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.6342355661808,0.09426460061861021,0.008885814929786089
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.6878773748460945,0.09281907502599317,0.008615380688680948
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.742310943864973,0.09139420646114736,0.00835290097466283
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.7975479597273774,0.08998975943736036,0.008098156803593987
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.853600281417425,0.08860549885672458,0.007850934427649022
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.910479942959441,0.08724118996691292,0.0076110252268429875
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,3.968199156001579,0.0858965984621568,0.007378225627368998
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.026770312437571,0.08457149059721464,0.007152337021834764
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.086205987067178,0.08326563346262719,0.006933165715932581
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.146518940295905,0.0819787950260047,0.006720522833915694
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.207722120874571,0.08071074407617004,0.0065142242093290175
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.269828668679308,0.07946125030349697,0.006314090299794998
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.332851917532597,0.07823008439317672,0.006119946104163551
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.396805398065943,0.07701701827247415,0.005931621103582616
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.461702840624806,0.0758218251300478,0.005748949166051548
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.5275581782163945,0.0746442793497815,0.0055717684396482175
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.594385549500999,0.07348415657273956,0.005399921267206903
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.66219930182744,0.07234123377201213,0.005233254103656907
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.731013994313353,0.07121528947405888,0.005071617454874001
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.8008444009709175,0.07010610375908259,0.004914865784279254
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.871705513878733,0.06901345818691033,0.004762857410916421
