D,d,theta,z,Delta,U,nh,A,m2,status,message,W,u_star_proxy,Phi_at_ustar,relative_portal_shift
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.11458333333333333,8.727272727272728,0.036708819665682076,0.0013475374412475671
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.11666666666666667,8.571428571428571,0.03743695016564551,0.0014015252377050252
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.11875000000000001,8.421052631578947,0.03816603438234688,0.0014566461804744841
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.12083333333333333,8.275862068965518,0.03889604602027826,0.0015129023960116044
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.12291666666666667,8.135593220338983,0.03962695909461059,0.0015702958870859411
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.125,8.0,0.040358748546436014,0.001628828584234451
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.12708333333333333,7.868852459016394,0.04109138994328431,0.001688502327471047
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.12916666666666665,7.741935483870969,0.04182485922705202,0.0017493188493627188
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.13125,7.619047619047619,0.04255913325209931,0.0018112798231699455
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.13333333333333333,7.5,0.04329418929364558,0.0018743868265940153
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.13541666666666669,7.384615384615383,0.04403000501512467,0.0019386413416319036
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.1375,7.2727272727272725,0.044766558783937524,0.002004044785355734
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.13958333333333334,7.164179104477612,0.045503829473890485,0.0020705984967889046
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.14166666666666666,7.0588235294117645,0.0462417963278198,0.002138303727623569
