alpha_dm,gamma,mu_ratio,stress,fd,old_mu,old_stress
0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.004,-0.002004008001349201,0.9999979919819827,0.999996000016064,4.016031940894296e-06,0.999997999998,0.999996
0.008,-0.004016063996824884,0.9999919357114962,0.9999840002580519,1.6128509893566116e-05,0.9999919999679997,0.999984
0.012,-0.006036215984074293,0.9999817825381808,0.9999640013115975,3.6434575879706576e-05,0.9999819998379971,0.999964
0.016,-0.008064511933371774,0.9999674833760017,0.9999360041617895,6.503212327138832e-05,0.9999679994879836,0.999936
0.02,-0.010100999795118767,0.9999489887014836,0.9999000102009585,0.0001020197877619603,0.9999499987499375,0.9999
0.024,-0.012145727487012615,0.9999262485520461,0.9998560212365005,0.00014749693763284233,0.9999279974078134,0.999856
0.028,-0.01419874288608754,0.9998992125244097,0.9998040394987348,0.00020156366344403913,0.9999019951975293,0.999804
0.032,-0.016260093816956603,0.9998678297731047,0.9997440676487935,0.00026432076699658817,0.9998719918069512,0.999744
0.036000000000000004,-0.018329828046460543,0.999832049009025,0.9996761087865402,0.0003358697498222769,0.9998379868758738,0.999676
0.04,-0.020407993270925264,0.9997918184981175,0.9996001664585091,0.0004163128008141438,0.999799979995999,0.9996
0.044,-0.022494637108205658,0.9997470860601273,0.9995162446658687,0.0005057527833221457,0.9997579707109115,0.999516
0.048,-0.02458980708674322,0.9996977990674616,0.9994243478723995,0.0006042932214623762,0.9997119585160518,0.999424
0.052000000000000005,-0.026693550635720535,0.9996439044441416,0.9993244810124843,0.0007120382857617976,0.9996619428586846,0.999324
0.056,-0.028805915074007392,0.9995853486648669,0.9992166494991065,0.0008290927780293492,0.9996079231378671,0.999216
0.06,-0.03092694759948238,0.9995220777541813,0.9991008592318522,0.0009555621155072186,0.9995498987044118,0.9991
0.064,-0.03305669527790667,0.9994540372857519,0.9989771166049104,0.0010915523142506428,0.9994878688608482,0.998976
0.068,-0.035195205031005296,0.9993811723817724,0.9988454285150662,0.0012371699716906249,0.9994218328613799,0.998844
0.07200000000000001,-0.037342523625058216,0.999303427712473,0.9987058023696838,0.0013925222484449408,0.9993517899118408,0.998704
0.076,-0.0394986976585908,0.9992207474957663,0.9985582460946719,0.0015577168492736982,0.9992777391696465,0.998556
0.08,-0.04166377354995033,0.9991330754970178,0.9984027681424255,0.0017328620032102432,0.9991996797437437,0.9984
0.084,-0.04383779752464566,0.9990403550289487,0.9982393774997416,0.0019180664428458294,0.9991176106945568,0.998236
0.088,-0.04602081560214459,0.9989425289516819,0.9980680836956979,0.0021134393827257885,0.9990315310339308,0.998064
0.092,-0.048212873582629684,0.998839539672924,0.9978888968094928,0.002319090496882012,0.9989414397250722,0.997884
0.096,-0.050414017033123266,0.9987313291483028,0.9977018274782362,0.0025351298954347885,0.9988473356824856,0.997696
0.1,-0.05262429127359101,0.9986178388818483,0.9975068869046887,0.002761668100302385,0.998749217771909,0.9975
0.10400000000000001,-0.05484374136239041,0.9984990099266411,0.9973040868649362,0.0029988160199426986,0.9986470848102447,0.997296
0.108,-0.05707241208159836,0.9983747828856155,0.9970934397159991,0.0032466849231620495,0.998540935565488,0.997084
0.112,-0.059310347921954235,0.9982450979125335,0.9968749584033644,0.0035053864119511933,0.9984307687566525,0.996864
0.116,-0.06155759306733737,0.9981098947131315,0.9966486564684328,0.0037750323933221585,0.9983165830536924,0.996636
0.12,-0.06381419137906869,0.9979691125464439,0.9964145480558761,0.0040557350501639906,0.9981983770774224,0.9964
0.124,-0.06608018637960368,0.9978226902263153,0.9961726479208922,0.00434760681105152,0.9980761493994333,0.996156
0.128,-0.06835562123617463,0.9976705661230918,0.995922971436353,0.004650760319060621,0.997949898542006,0.995904
0.132,-0.0706405387437176,0.9975126781655195,0.995665534599832,0.004965308399492742,0.997819622978021,0.995644
0.136,-0.07293498130776041,0.9973489638428316,0.995400354040508,0.005291364026581933,0.9976853211308664,0.995376
0.14,-0.0752389909266624,0.9971793602070504,0.9951274470259296,0.005629040289091016,0.9975469913743412,0.9951
0.14400000000000002,-0.0775526091736318,0.997003803875496,0.9948468314686351,0.0059784503548410296,0.9974046320325568,0.994816
0.148,-0.07987587717827727,0.9968222310335164,0.9945585259326143,0.00633970743412837,0.9972582413798343,0.994524
0.152,-0.08220883560784048,0.9966345774374369,0.9942625496396051,0.006712924742039408,0.9971078176406,0.994224
0.156,-0.08455152464795129,0.9964407784177451,0.9939589224752127,0.007098215459627347,0.996953358989276,0.993916
0.16,-0.08690398398307993,0.9962407688825065,0.9936476649948387,0.007495692693968247,0.996794863550169,0.9936
0.164,-0.08926625277651198,0.9960344833210258,0.9933287984294121,0.007905469437058854,0.996632329397356,0.993276
0.168,-0.09163836964996766,0.9958218558077552,0.9930023446909095,0.008327658523566824,0.9964657545545658,0.992944
0.17200000000000001,-0.09402037266280446,0.9956028200064574,0.9926683263776502,0.008762372587415367,0.9962951369950573,0.992604
0.176,-0.09641229929080412,0.9953773091746312,0.992326766779358,0.009209724017194927,0.9961204746414963,0.992256
0.18,-0.09881418640459391,0.9951452561682014,0.991977689881975,0.009669824910404731,0.995941765365827,0.9919
