D,scan,x,W,case,baseline_value,response_value,response_ratio,relative_to_visible,observable
3,theta,0.225,0.1,III-b,7.557953359872463e-05,7.565075920164263e-05,1.000942392728912,0.0009423927289120559,DeltaS_int^(2)
3,theta,0.25,0.1,vis,7.569599427667114e-05,7.569599427667114e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.25,0.1,I,7.569599427667114e-05,7.569599427667114e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.25,0.1,II,7.569599427667114e-05,6.597429376778884e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.25,0.1,III-a,7.569599427667114e-05,7.569599427667114e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.25,0.1,III-b,7.569599427667114e-05,7.576765351601353e-05,1.000946671485422,0.0009466714854220459,DeltaS_int^(2)
3,theta,0.275,0.1,vis,7.581752687984849e-05,7.581752687984849e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.275,0.1,I,7.581752687984849e-05,7.581752687984849e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.275,0.1,II,7.581752687984849e-05,6.608021783604376e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.275,0.1,III-a,7.581752687984849e-05,7.581752687984849e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.275,0.1,III-b,7.581752687984849e-05,7.588960574296357e-05,1.0009506886610704,0.000950688661070398,DeltaS_int^(2)
3,theta,0.30000000000000004,0.1,vis,7.59438072887754e-05,7.59438072887754e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.30000000000000004,0.1,I,7.59438072887754e-05,7.59438072887754e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.30000000000000004,0.1,II,7.59438072887754e-05,6.619027994534389e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.30000000000000004,0.1,III-a,7.59438072887754e-05,7.59438072887754e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.30000000000000004,0.1,III-b,7.59438072887754e-05,7.601629256138674e-05,1.0009544592929838,0.000954459292983767,DeltaS_int^(2)
3,theta,0.325,0.1,vis,7.607451138397053e-05,7.607451138397053e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.325,0.1,I,7.607451138397053e-05,7.607451138397053e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.325,0.1,II,7.607451138397053e-05,6.630419760314674e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.325,0.1,III-a,7.607451138397053e-05,7.607451138397053e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.325,0.1,III-b,7.607451138397053e-05,7.614739049187026e-05,1.0009579963981876,0.0009579963981876105,DeltaS_int^(2)
3,theta,0.35000000000000003,0.1,vis,7.620931504595264e-05,7.620931504595264e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.35000000000000003,0.1,I,7.620931504595264e-05,7.620931504595264e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.35000000000000003,0.1,II,7.620931504595264e-05,6.642168831690995e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.35000000000000003,0.1,III-a,7.620931504595264e-05,7.620931504595264e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.35000000000000003,0.1,III-b,7.620931504595264e-05,7.628257611185069e-05,1.0009613137954838,0.0009613137954838091,DeltaS_int^(2)
3,theta,0.375,0.1,vis,7.634789415524039e-05,7.634789415524039e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.375,0.1,I,7.634789415524039e-05,7.634789415524039e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.375,0.1,II,7.634789415524039e-05,6.654246959409103e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.375,0.1,III-a,7.634789415524039e-05,7.634789415524039e-05,1.0,0.0,DeltaS_int^(2)
