D,d,theta,z,mu,F_aniso,F_iso,DeltaF,T_deltaF,quad_err,success,solver_message
3,1,0.0,1.0,,,,,,,False,degenerate m<=0
3,1,0.0,1.5,9.454607196057353,-26.02851777247855,-22.347399307934868,-3.681118464543683,-0.9987312515337742,0.0001274965537879369,True,The algorithm converged to the desired accuracy.
3,1,0.0,2.0,12.538689371787724,-80.21445662465536,-78.60936558109121,-1.6050910435641441,-0.9224313086798127,8.143444392709649e-07,True,The algorithm converged to the desired accuracy.
3,1,0.0,2.5,14.893083599652579,-166.82731454708033,-166.35295432968047,-0.47436021739986245,-0.44171554866452317,8.113981273351334e-06,True,The algorithm converged to the desired accuracy.
3,1,0.0,3.0,17.122419988373803,-293.30044879453845,-293.17726625826276,-0.1231825362756922,-0.1225632401766883,5.7242853215705436e-05,True,The algorithm converged to the desired accuracy.
3,1,0.0,4.0,21.548021968395688,-696.5023328410238,-696.4758761256946,-0.026456715329118197,-0.026450544195630022,0.0012063258470620397,True,The algorithm converged to the desired accuracy.
3,1,0.0,5.0,25.972691018715757,-1349.2154898495235,-1349.1613575073563,-0.05413234216712226,-0.054079529213286966,0.0001630942847548368,True,The algorithm converged to the desired accuracy.
3,1,0.5,1.0,3.886909967577049,-4.399176830795238,-3.777017274012454,-0.6221595567827838,-0.5526298472127152,2.1548042518804156e-05,True,The algorithm converged to the desired accuracy.
3,1,0.5,1.5,7.751224307216688,-30.654128145663186,-30.040739130393415,-0.613389015269771,-0.5465083135931738,3.1139521372591274e-07,True,The algorithm converged to the desired accuracy.
3,1,0.5,2.0,10.862201024685314,-88.74289168895163,-88.49055832550602,-0.2523333634456151,-0.247110801938594,4.3161356563167774e-06,True,The algorithm converged to the desired accuracy.
3,1,0.5,2.5,13.551473333916201,-183.7195894597128,-183.64242951984187,-0.07715993987093839,-0.0770071757414332,3.583778434984586e-05,True,The algorithm converged to the desired accuracy.
3,1,0.5,3.0,16.062925207204476,-322.5482606853178,-322.5219577653062,-0.026302920011630704,-0.026296855854170825,0.00021781195742409665,True,The algorithm converged to the desired accuracy.
3,1,0.5,4.0,20.847000971642643,-760.5730216732297,-760.5455366454213,-0.027485027808438645,-0.027478108924005026,0.004079514734637968,True,The algorithm converged to the desired accuracy.
3,1,0.5,5.0,25.479034165361142,-1460.7233323544865,-1460.6576594991907,-0.06567285529581568,-0.06557860388258761,0.0002794811433106739,True,The algorithm converged to the desired accuracy.
3,1,1.0,1.0,3.7042237332956383,-7.000721142916664,-6.860636733155338,-0.14008440976132608,-0.13917522361664347,7.111659144166732e-08,True,The algorithm converged to the desired accuracy.
3,1,1.0,1.5,7.096367411640661,-37.8765217126242,-37.768822830746686,-0.10769888187751775,-0.10728440325282637,1.8430876143277555e-06,True,The algorithm converged to the desired accuracy.
3,1,1.0,2.0,10.114361446200695,-102.34329037195423,-102.30030746439101,-0.04298290756321421,-0.04295645636881738,1.9963463424116368e-05,True,The algorithm converged to the desired accuracy.
